text,label
"OMS anuncia novo tratamento eficaz para doenças crônicas",confiável
"Estudo confirma que vacinas aumentam a imunidade",confiável
"Relatório de ONU destaca avanços ambientais significativos",confiável
"Pesquisa científica mostra redução de poluição em áreas urbanas",confiável
"Descoberta científica promete avanços na cura do câncer",confiável
"Especialistas indicam que economia global se recupera",confiável
"Novo estudo revela benefícios de dietas balanceadas",confiável
"Relatório mostra aumento na expectativa de vida global",confiável
"Programa social ajuda famílias carentes a sair da pobreza",confiável
"Estudo sugere que prática de exercícios aumenta longevidade",confiável
"Escândalo financeiro: políticos são acusados de corrupção",não confiável
"Teoria da conspiração sobre vacinas gera pânico",não confiável
"Novo relatório sugere que aquecimento global é uma farsa",não confiável
"Especialistas criticam políticas de saúde sem base científica",não confiável
"Site publica artigo alarmante sobre fim do mundo",não confiável
"Fonte não verificada afirma que governo esconde verdades"+,não confiável
"Artigo afirma que alimentos processados são seguros, mas sem provas",não confiável
"Teoria sugere que cientistas ocultam avanços tecnológicos",não confiável
"Notícia polêmica aponta que doenças são fabricadas",não confiável
"Fonte duvidosa afirma que crise financeira foi fabricada",não confiável
